Stadt,Domain,DR,Status,Verlinkung,Listungsseite,Quelle
Göttingen,goettingen.de,73.0,FIRMEN-LINKS,ja,kultursommer.goettingen.de/sponsoren/,Bestand
Jena,jena.de,73.0,FIRMEN-LINKS,ja,rathaus.jena.de (Fassadenpreis),Bestand
Schwerin,schwerin.de,73.0,PARTNERBEREICH,gering,schwerin.de/.../konservatorium/sponsoren-foerderer-partner/,Bestand
Hagen,hagen.de,72.0,PARTNERBEREICH,gering,hagen.de/aus-dem-rathaus/.../kulturbuero-hagen/,Bestand
Ravensburg,ravensburg.de,71.0,FIRMEN-LINKS,ja,ravensburg.de/rv/wirtschaft-planen-bauen/stadtmarketing/partner.php,Bestand
Gütersloh,guetersloh.de,70.0,FIRMEN-LOGOS,teilweise,guetersloh.de/de/rathaus/presseportal/news/meldungen/reihe-vier-jahreszeiten.php,Bestand
Schwäbisch Hall,schwaebischhall.de,70,FIRMEN-LINKS,ja,https://www.schwaebischhall.de/de/kultur-tourismus/feste-highlights/kuchen-und-brunnenfest,Bestand
Bingen am Rhein,bingen.de,70.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.bingen.de/stadt/news/alle-pressemitteilungen/d-das-bingen-swingt-lineup-2025-702964217,Re-Recherche 2026-06
Wetzlar,wetzlar.de,69,PARTNERBEREICH,ja (3),https://www.wetzlar.de/leben-in-wetzlar/sport/brueckenlauf/sponsoren-unterstuetzer.php,Bestand
Bad Kissingen,badkissingen.de,69.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.badkissingen.de/bildung-und-soziales/juedisches-leben/badkissinger-stolpersteine/38600.Paten-und-Sponsoren.html,Re-Recherche 2026-06
Zwickau,zwickau.de,69.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.zwickau.de/de/aktuelles/pressemitteilungen/2025/09/353.php,Re-Recherche 2026-06
Siegen,siegen.de,68.0,FIRMEN-LOGOS,teilweise,siegen.de/kultur-tourismus/kultur-und-kunst/partner-und-sponsoren/,Bestand
Düren,dueren.de,68.0,PARTNERBEREICH,gering,dueren.de/.../lions-kulturtage...,Bestand
Emden,emden.de,68.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.emden.de/rathaus/verwaltung/fb-300-stadtentwicklung-und-wirtschaftsfoerderung/fd-362-umwelt/klimaschutz-in-emden/stadtradeln,Re-Recherche 2026-06
Aalen,aalen.de,67.0,FIRMEN-LOGOS,teilweise,aalen.de/sponsoren-partner.85796.25.htm,Bestand
Lingen,lingen.de,67.0,PARTNERBEREICH,gering,lingen.de/.../stadtjubilaeum-2025/sponsoring.html,Bestand
Troisdorf,troisdorf.de,66.0,PARTNERBEREICH,Nennung/Logo (kein dofollow),https://www.troisdorf.de/de/freizeit-familie/innenstadtfeste/weihnachtsmarkt/,Bestand-neu
Bad Dürkheim,bad-duerkheim.de,66.0,PARTNERBEREICH,nofollow/nur Nennung,https://www.bad-duerkheim.de/kultur-tourismus/veranstaltungen-feste/limburg-sommer/partner-des-limburg-sommers/,Re-Recherche 2026-06
Langenfeld,langenfeld.de,65.0,FIRMEN-LINKS,ja,langenfeld.de/Seiten/Mitglieder-von-Kommit-e-V.html,Bestand
Wernigerode,wernigerode.de,65.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.wernigerode.de/Stadtleben/Kultur-und-Freizeit/Neue-Sterne/Partners/,Re-Recherche 2026-06
Zittau,zittau.de,65.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://zittau.de/resuemee-zittauer-weihnachtsmarkt-mit-lichterfest,Re-Recherche 2026-06
Neuwied,neuwied.de,64.0,PARTNERBEREICH,gering,neuwied.de/deichstadtfest,Bestand
Saarlouis,saarlouis.de,64.0,PARTNERBEREICH,nofollow/nur Nennung,https://www.saarlouis.de/leben-in-saarlouis/zusammenleben/saarlouiser-woche-und-emmes/emmes/,Re-Recherche 2026-06
Deggendorf,deggendorf.de,63.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.deggendorf.de/averanstaltungen/nightrun-beats-2024,Re-Recherche 2026-06
Wolfenbüttel,wolfenbuettel.de,63.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.wolfenbuettel.de/B%C3%BCrgerservice/Presse-und-%C3%96ffentlichkeitsarbeit/Pressemitteilungen/Neuer-Teilnehmerrekord-beim-Stadtlauf.php?FID=3413.29005.1,Re-Recherche 2026-06
Radebeul,radebeul.de,63.0,FIRMEN-LINKS,dofollow ja,https://www.radebeul.de/karlmay/en/Partners-Sponsors,Re-Recherche 2026-06
Limburg an der Lahn,limburg.de,63.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://limburg.de/index.php?FID=3252.34306.1&ModID=7&object=tx%2C3251.5,Re-Recherche 2026-06
Nordhorn,nordhorn.de,61.0,FIRMEN-LINKS,ja,nordhorn.de/portal/seiten/sponsor-innen-900000253-26710.html,Bestand
Mühlhausen,muehlhausen.de,61.0,FIRMEN-LINKS,dofollow ja,https://freiheit2025.muehlhausen.de/partner-sponsoren/,Re-Recherche 2026-06
Nordhausen,nordhausen.de,60.0,FIRMEN-LINKS,dofollow ja,https://www.nordhausen.de/index-c.php?ID=29145,Re-Recherche 2026-06
Herten,herten.de,60.0,PARTNERBEREICH,dofollow ja,https://www.herten.de/buergerservice/pressemeldungen/meldung/47-kunstmarkt-lockt-am-pfingstwochenende-in-den-hertener-schlosspark-kunst-kultur-und-musik-fuer-alle-besucherinnen-und-besucher,Re-Recherche 2026-06
Leer (Ostfriesland),leer.de,60.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://leer.de/Politik-Verwaltung/Verwaltung/Aktuelle-Mitteilungen/Pressemitteilungen/Stadtradeln-Leer-will-wieder-aufs-Treppchen-.php,Re-Recherche 2026-06
Hofheim am Taunus,hofheim.de,60.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.hofheim.de/wirtschaft/unternehmerabend/,Re-Recherche 2026-06
Meerbusch,meerbusch.de,60.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://meerbusch.de/leben-in-meerbusch/sport-und-gesundheit/bewegungsparks,Re-Recherche 2026-06
Menden,menden.de,60.0,FIRMEN-LINKS,dofollow ja,https://www.menden.de/buergerservice-rathaus/buergerservice/finanzen/sponsoren-der-stadt-menden,Re-Recherche 2026-06
Warendorf,warendorf.de,60.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.warendorf.de/de/leben/vereine-und-ehrenamt/ehrenamtskarte-nrw/,Re-Recherche 2026-06
Hildesheim,stadt-hildesheim.de,59.0,FIRMEN-LOGOS,teilweise,stadt-hildesheim.de/portal/meldungen/sommerferien-...-900005052-33610.html,Bestand
Rudolstadt,rudolstadt.de,59.0,FIRMEN-LOGOS,teilweise,altstadtfest.rudolstadt.de/sponsoren,Bestand
Coesfeld,coesfeld.de,59.0,FIRMEN-LINKS,ja,coesfeld.de/leben/mobilitaet/radverkehr/stadtradeln,Bestand
Kamp-Lintfort,kamp-lintfort.de,59.0,PARTNERBEREICH,Nennung/Logo (kein dofollow),https://www.kamp-lintfort.de/service-rathaus/pressemeldungen/weihnachtsmarkt-im-zechenpark-2025,Bestand-neu
Freital,freital.de,59.0,FIRMEN-LINKS,dofollow ja,https://www.freital.de/Kultur-Tourismus/Feste-Veranstaltungen/Freital-sucht-den-Schlagerstar-2025/Die-Sponsoren/,Re-Recherche 2026-06
Bensheim,bensheim.de,59.0,PARTNERBEREICH,nofollow/nur Nennung,https://bensheim.de/ueber-200-kinder-bei-den-ferienspielen-dank-an-die-sponsoren-fuer-die-grosszuegige-unterstuetzung/,Re-Recherche 2026-06
Arnstadt,arnstadt.de,58.0,PARTNERBEREICH,nofollow/nur Nennung,https://www.arnstadt.de/news/sponsoren-des-33-stadtfestes-bekraeftigen-ihre-unterstuetzung,Re-Recherche 2026-06
Gifhorn,stadt-gifhorn.de,58.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.stadt-gifhorn.de/freizeit-tourismus/veranstaltungen/gifhorner-altstadtfest,Re-Recherche 2026-06
Wesseling,wesseling.de,57.0,PARTNERBEREICH,Nennung/Logo (kein dofollow),https://www.wesseling.de/rathaus-politik/presse/158_2025.php,Bestand-neu
Schönebeck,schoenebeck.de,57.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.schoenebeck.de/de/082022/31-bierer-berg-fest.html,Re-Recherche 2026-06
Wunstorf,wunstorf.de,57.0,PARTNERBEREICH,nofollow/nur Nennung,https://ohs.wunstorf.de/portal/seiten/foerderverein-1016-274.html,Re-Recherche 2026-06
Elmshorn,elmshorn.de,57.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.elmshorn.de/Kulturportal/Kulturdenkmale/Denkmalliste/10-Elmshorner-Musiknacht-am-29-05-2026.php,Re-Recherche 2026-06
Backnang,backnang.de,57.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.backnang.de/54_+backnanger+strassenfest,Re-Recherche 2026-06
Bergkamen,bergkamen.de,57.0,FIRMEN-LINKS,dofollow ja,https://www.bergkamen.de/kultur-tourismus-sport-events/veranstaltungen/grossveranstaltungen/hafenfest/sponsoren/,Re-Recherche 2026-06
Datteln,datteln.de,57.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.datteln.de/rathausfestimlicht2023,Re-Recherche 2026-06
Neu-Isenburg,neu-isenburg.de,57.0,PARTNERBEREICH,nofollow/nur Nennung,https://www.neu-isenburg.de/pressemodul/pressemitteilungen/2023/7/stadtradeln-2023-gewinnerinnen-und-gewinner-werden-ausgezeichnet,Re-Recherche 2026-06
Osterode am Harz,osterode.de,56.0,FIRMEN-LOGOS,teilweise,osterode.de/portal/seiten/osteroder-stadtfest-2025-912001165-21351.html,Bestand
Beckum,beckum.de,56.0,PARTNERBEREICH,Nennung/Logo (kein dofollow),https://www.beckum.de/news/april-bis-juni-2024/tolle-preise-beim-stadtradeln-gewinnen/,Bestand-neu
Husum,husum.org,56.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://husum.org/index.php?FID=3214.2076.1&ModID=7&object=tx%2C3215.5,Re-Recherche 2026-06
Rheda-Wiedenbrück,rheda-wiedenbrueck.de,56.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.rheda-wiedenbrueck.de/aktuelles/2023/september/tag-des-ehrenamtes/,Re-Recherche 2026-06
Hemer,hemer.de,56.0,PARTNERBEREICH,dofollow ja,https://www.hemer.de/zusammen-in-hemer/zusammen-feiern/hemeraner-weihnacht,Re-Recherche 2026-06
Varel,varel.de,56.0,PARTNERBEREICH,dofollow ja,https://www.varel.de/portal/seiten/familienfest-bei-der-weberei-900000611-20860.html,Re-Recherche 2026-06
Herzogenaurach,herzogenaurach.de,56.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.herzogenaurach.de/leben/herzopass,Re-Recherche 2026-06
Meschede,meschede.de,56.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.meschede.de/meschedeleuchtet,Re-Recherche 2026-06
Nienburg/Weser,nienburg.de,55.0,FIRMEN-LOGOS,teilweise,nienburg.de/portal/seiten/sponsoren-902000541-21501.html,Bestand
Georgsmarienhütte,georgsmarienhuette.de,55.0,FIRMEN-LINKS,ja,georgsmarienhuette.de/portal/seiten/mitgliederliste-914000192-22600.html,Bestand
Kitzingen,stadt-kitzingen.de,55.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.stadt-kitzingen.de/aktuelles/pressemitteilungen/2026/mai/stadtfest/,Re-Recherche 2026-06
Merseburg,merseburg.de,55.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.merseburg.de/de/aktuelle-meldungen/dankeschoen-an-unterstuetzer-des-schlossfestes.html,Re-Recherche 2026-06
Saalfeld,saalfeld.de,55.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.saalfeld.de/buergerservice/stadt-buerger/detail.htm?newsid=188BD7D2879&index=380,Re-Recherche 2026-06
Emsdetten,emsdetten.de,55.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.emsdetten.de/standort-innenstadt-wirtschaft/neuigkeiten/2025/emsdettener-wunschbaum-die-vorweihnachtliche-aktion-fuer-den-guten-zweck/,Re-Recherche 2026-06
Heide,heide.de,54.0,PARTNERBEREICH,gering,heide.de/rathaus-buergerservice/bauprojekte-und-stadtentwicklung/fahrradfreundliche-stadt.html,Bestand
Bitterfeld-Wolfen,bitterfeld-wolfen.de,54.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.bitterfeld-wolfen.de/de/sponsoren800/,Re-Recherche 2026-06
Sondershausen,sondershausen.de,54.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.sondershausen.de/details/gro%C3%9Fes-kinder-und-jugendmusikfestival-zum-weltkindertag.html,Re-Recherche 2026-06
Kamen,stadt-kamen.de,54.0,PARTNERBEREICH,nofollow/nur Nennung,https://www.stadt-kamen.de/leben-und-mehr/aktuelles/pressemitteilungen/5655-stadtradeln-2025-kamen-ist-wieder-am-start,Re-Recherche 2026-06
Riesa,riesa.de,54.0,PARTNERBEREICH,nofollow/nur Nennung,https://riesa.de/rathaus/meldungen/artikel/news-riesa-wird-wieder-weihnachtlich-einen-monat-lang-eislaufen,Re-Recherche 2026-06
Stendal,stendal.de,54.0,PARTNERBEREICH,dofollow ja,https://serviceportal.stendal.de/de/buergerprojekte.html,Re-Recherche 2026-06
Holzminden,holzminden.de,53.0,FIRMEN-LINKS,ja,holzminden.de/portal/seiten/foerderer-sponsoren-900000404-25610.html,Bestand
Güstrow,guestrow.de,53.0,PARTNERBEREICH,Nennung/Logo (kein dofollow),guestrow.de/stadtfest2026,Bestand-neu
Bad Oldesloe,badoldesloe.de,53.0,PARTNERBEREICH,nofollow/nur Nennung,https://www.badoldesloe.de/B%C3%BCrger/Kultur-und-Bildung/Veranstaltungen/Stadtfest/,Re-Recherche 2026-06
Zeitz,zeitz.de,53.0,PARTNERBEREICH,nofollow/nur Nennung,https://www.zeitz.de/Programm-Zuckerfest/,Re-Recherche 2026-06
Ahaus,ahaus.de,53.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://ahaus.de/partner,Re-Recherche 2026-06
Cham,cham.de,53.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.cham.de/kultur-freizeit/mikar-carsharing,Re-Recherche 2026-06
Rhede,rhede.de,52.0,PARTNERBEREICH,gering,rhede.de/portal/seiten/sponsoring-900000306-28220.html,Bestand
Cloppenburg,cloppenburg.de,52.0,PARTNERBEREICH,gering,cloppenburg.de/portal/seiten/citylauf-900000016-31040.html,Bestand
Delbrück,stadt-delbrueck.de,52.0,PARTNERBEREICH,gering,stadt-delbrueck.de/de/rathaus-online/klimaschutz/STADTRADELN.php,Bestand
Herdecke,herdecke.de,52.0,PARTNERBEREICH,Nennung/Logo (kein dofollow),https://www.herdecke.de/portal/meldungen/50-herdecker-maiwoche-mit-zahlreichen-highlights-900001685-37460.html,Bestand-neu
Glauchau,glauchau.de,52.0,FIRMEN-LINKS,dofollow ja,https://www.glauchau.de/de/kultursommer-in-glauchau.html,Re-Recherche 2026-06
Sömmerda,soemmerda.de,52.0,FIRMEN-LINKS,dofollow ja,https://www.soemmerda.de/tourismus-kultur/veranstaltungen/stadtjubilaeum-2026/sponsoring,Re-Recherche 2026-06
Reichenbach,reichenbach-vogtland.de,52.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.reichenbach-vogtland.de/kultur-freizeit/feste-maerkte/buergerfest/,Re-Recherche 2026-06
Apolda,apolda.de,52.0,PARTNERBEREICH,nofollow/nur Nennung,https://www.apolda.de/tourismus-kultur/natur-aktiv/promenaden-parks/herressener-promenade,Re-Recherche 2026-06
Roth,stadt-roth.de,52.0,FIRMEN-LINKS,dofollow ja,https://www.stadt-roth.de/kultur-tourismus/feste-highlights/triathlon,Re-Recherche 2026-06
Döbeln,doebeln.de,51.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.doebeln.de/component/content/article/ein-riese-wird-100-so-feiert-die-stadt-doebeln-2025-das-jubilaeum-des-riesenstiefels?catid=27&Itemid=101,Re-Recherche 2026-06
Vechta,vechta.de,51.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.vechta.de/nachricht/viele-preise-bei-tombola-zu-gewinnen-2,Re-Recherche 2026-06
Altenburg,stadt-altenburg.de,51.0,PARTNERBEREICH,dofollow ja,https://www.stadt-altenburg.de/seite/773417/landesgartenschau-2030.html,Re-Recherche 2026-06
Seevetal,seevetal.de,50.0,PARTNERBEREICH,gering,seevetal.de/portal/seiten/sponsoring-von-gruenflaechen-auf-kreiseln-910000997-20200.html,Bestand
Gevelsberg,gevelsberg.de,50.0,PARTNERBEREICH,Nennung/Logo (kein dofollow),https://www.gevelsberg.de/index.php?object=tx%2C3061.5&ModID=7&FID=3061.2666.1,Bestand-neu
Weißenfels,weissenfels.de,50.0,FIRMEN-LOGOS,nofollow/nur Nennung,https://www.weissenfels.de/Stadt-Ortschaften/Pressestelle/Pressearchiv/Wei%C3%9Fenfelser-Lauf-gegen-Gewalt-Sponsoren-und-Partner-gesucht.php,Re-Recherche 2026-06
