Stadt,Domain,DR_offen,Status,Verlinkung,Firmen_ca,Listungsseite,Region,Evidenz,DR
Kitzingen,stadt-kitzingen.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,5,https://www.stadt-kitzingen.de/aktuelles/pressemitteilungen/2026/mai/stadtfest/,BY,"Offizielle Stadtdomain stadt-kitzingen.de (nicht kitzingen.de = Landratsamt). In der Stadtfest-Pressemitteilung werden als Buehnen-Sponsoren 5 Firmen genannt: LKW Kitzingen, Sparkasse, VR-Bank, Brauerei Kesselring, Seynstahl. Nennung im Fliesstext, ohne externe Links.",55.0
Merseburg,merseburg.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,40 / 11 Logos,https://www.merseburg.de/de/aktuelle-meldungen/dankeschoen-an-unterstuetzer-des-schlossfestes.html,Ost,"Schlossfest-Unterstützer (~40 Namen) + Subdomain schlossfestspiele.merseburg.de mit 11 Firmen-Logos: Saalesparkasse, Stadtwerke Merseburg, Radisson Blu, TOTAL Raffinerie, Midewa, Autohaus Rudolph, SPIE IMO. Unverlinkt.",55.0
Reichenbach,reichenbach-vogtland.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,20+,https://www.reichenbach-vogtland.de/kultur-freizeit/feste-maerkte/buergerfest/,Ost,"31. Reichenbacher Bürgerfest, Sponsorenbereich 'Wir sagen Danke!' mit vier Sponsoren-Plakatgrafiken. Logos/Namen in Bildern, keine Verlinkung.",52.0
Rheda-Wiedenbrück,rheda-wiedenbrueck.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,55,https://www.rheda-wiedenbrueck.de/aktuelles/2023/september/tag-des-ehrenamtes/,NRW,"10. Tag des Ehrenamtes: ~55 lokale Firmen alphabetisch genannt, u.a. Tönnies Holding, SIMONSWERK, Musterring, Westag, Venjakob Maschinenbau, Privat-Brauerei Hohenfelde, HELLWEG, COR Sitzmöbel. Reine Textliste, kein dofollow.",56.0
Saalfeld,saalfeld.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,23,https://www.saalfeld.de/buergerservice/stadt-buerger/detail.htm?newsid=188BD7D2879&index=380,Ost,"FF Saalfeld dankt ~23 Unterstützern: TALLAG, RSP, Medimax, SAMAG, Stahlwerk Thüringen, Drehtechnik Jakusch, conzeptwerk, JAKUSA u.a. Textnennung.",55.0
Schönebeck,schoenebeck.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,13,https://www.schoenebeck.de/de/082022/31-bierer-berg-fest.html,Ost,"Bierer-Berg-Fest: Stadtwerke Schönebeck, ITB Ingenieurtiefbau, Salzlandsparkasse, Schüssler Containerdienst, Keller Tersch, L&R Facility, Industriebau Wernigerode, Energieanlagen Ramonat, ÖSA, Druckerei Jansa. Nur Nennung.",57.0
Sondershausen,sondershausen.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,7,https://www.sondershausen.de/details/gro%C3%9Fes-kinder-und-jugendmusikfestival-zum-weltkindertag.html,Ost,"Kinder-/Jugendmusikfestival: K-UTEC, Wippertal Immobilien, EBBG-Erlebnisbergwerk, Stadtwerke, Autohaus Albertsmeyer, SONLUX, VKS. Textnennung.",54.0
Vechta,vechta.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,9,https://www.vechta.de/nachricht/viele-preise-bei-tombola-zu-gewinnen-2,Nord,"Weihnachtsmarkt-Tombola: Reisebüro Höffmann, Fahrrad Büld, Juwelier Weiss, Juwelier Arthur Müller, Spielwaren Krümpelbeck, Feinkost Vatterodt, Parfümerie Schuback, Thalia. Nur Nennung.",51.0
Weißenfels,weissenfels.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,13,https://www.weissenfels.de/Stadt-Ortschaften/Pressestelle/Pressearchiv/Wei%C3%9Fenfelser-Lauf-gegen-Gewalt-Sponsoren-und-Partner-gesucht.php,Ost,"Lauf gegen Gewalt: Bagel Bakery, Chefs Culinar, frischli, Glockengold, Südzucker, Stadtwerke Weißenfels, dm, VR-Bank Saale-Unstrut, Mitteldeutsche Basketball, IKK gesund plus. Nur Nennung.",50.0
Wernigerode,wernigerode.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,9,https://www.wernigerode.de/Stadtleben/Kultur-und-Freizeit/Neue-Sterne/Partners/,Ost,"Klavierwettbewerb Neue Sterne 'Sponsoren und Förderer': Hasseröder Brauerei, Harzer Volksbank, Lotto Toto Sachsen-Anhalt, Glasmanufaktur Harzkristall, Autohaus Wille, Harzdruckerei, Harzer Mineralquelle Blankenburg. Nur Nennung.",65.0
Wolfenbüttel,wolfenbuettel.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,9,https://www.wolfenbuettel.de/B%C3%BCrgerservice/Presse-und-%C3%96ffentlichkeitsarbeit/Pressemitteilungen/Neuer-Teilnehmerrekord-beim-Stadtlauf.php?FID=3413.29005.1,Nord,"Wolfenbütteler Stadtlauf: Stadtwerke Wolfenbüttel, BLSK, AOK, Baugenossenschaft Wiederaufbau, APEX Steuerprofis, Wolters Alkoholfrei, Radio38, Richter Altstadtbäckerei, MKN. Nur Nennung.",63.0
Zittau,zittau.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,6,https://zittau.de/resuemee-zittauer-weihnachtsmarkt-mit-lichterfest,Ost,"Zittauer Weihnachtsmarkt/Riesenstollen-Sponsoren: Bäckerei Rönsch, Bäckerei Geißler, Bäckerei Paul, Backhaus Schedel, Riedelbäck, Landbäckerei Kolbe. Nur Nennung.",65.0
Zwickau,zwickau.de,TODO (Ahrefs),FIRMEN-LOGOS,nofollow/nur Nennung,8,https://www.zwickau.de/de/aktuelles/pressemitteilungen/2025/09/353.php,Ost,"Zwickau Triathlon (offizielle Domain): DRH Vermoegensverwaltung, NESTLER Architekten, MTB Marienthaler Baustoffhandel, SECONSYS, Zwickauer Energieversorgung, Bike Profis, Radio Zwickau, FSV. Stadtfest nennt Comedia Concept. Nennung als Text, kein dofollow.",69.0
Altenburg,stadt-altenburg.de,TODO (Ahrefs),PARTNERBEREICH,dofollow ja,5 (davon 2 verlinkt),https://www.stadt-altenburg.de/seite/773417/landesgartenschau-2030.html,Ost,"Landesgartenschau 2030: Sparkasse Altenburger Land + SWG Altenburg als dofollow-Links, WAG/webtotrade/Hotel Treppengasse als Nennung.",51.0
Apolda,apolda.de,TODO (Ahrefs),PARTNERBEREICH,nofollow/nur Nennung,5,https://www.apolda.de/tourismus-kultur/natur-aktiv/promenaden-parks/herressener-promenade,Ost,"Herressener Promenade: Wohnungsgesellschaft Apolda, Apoldaer Beteiligungsgesellschaft, Energieversorgung Apolda, Hotel Am Schloß, HKS Gebäudetechnik. Teils kommunale GmbHs, nur Nennung.",52.0
Arnstadt,arnstadt.de,TODO (Ahrefs),PARTNERBEREICH,nofollow/nur Nennung,6,https://www.arnstadt.de/news/sponsoren-des-33-stadtfestes-bekraeftigen-ihre-unterstuetzung,Ost,"33. Stadtfest: Stadtwerke Arnstadt, Sparkasse Arnstadt-Ilmenau, WBG Arnstadt, CATL, N3 Engine Overhaul Services, Initiative Erfurter Kreuz. Textnennung.",58.0
Bad Oldesloe,badoldesloe.de,TODO (Ahrefs),PARTNERBEREICH,nofollow/nur Nennung,1-2,https://www.badoldesloe.de/B%C3%BCrger/Kultur-und-Bildung/Veranstaltungen/Stadtfest/,Nord,"Stadtfest 'Sponsoren und Partner': v.a. Sparkasse Holstein (Hauptsponsor) + Agentur. Schwach (unter FIRMEN-LOGOS-Schwelle), umfangreiche Listen nur auf Stadtmarketing-Domain.",53.0
Hemer,hemer.de,TODO (Ahrefs),PARTNERBEREICH,dofollow ja,4,https://www.hemer.de/zusammen-in-hemer/zusammen-feiern/hemeraner-weihnacht,NRW,"Hemeraner Weihnacht: Wirtschaftsinitiative Hemer + Sauerlandpark Hemer als dofollow-Links, Lobbe und Sparkasse Märkisches Sauerland als Nennung.",56.0
Herten,herten.de,TODO (Ahrefs),PARTNERBEREICH,dofollow ja,3-4,https://www.herten.de/buergerservice/pressemeldungen/meldung/47-kunstmarkt-lockt-am-pfingstwochenende-in-den-hertener-schlosspark-kunst-kultur-und-musik-fuer-alle-besucherinnen-und-besucher,NRW,"47. Kunstmarkt Schlosspark: Volksbank Ruhr Mitte, Hertener Stadtwerke (dofollow), Autohaus Bieling, Schloss Gastronomie. Überwiegend Nennung, 1 dofollow.",60.0
Kamen,stadt-kamen.de,TODO (Ahrefs),PARTNERBEREICH,nofollow/nur Nennung,3-6,https://www.stadt-kamen.de/leben-und-mehr/aktuelles/pressemitteilungen/5655-stadtradeln-2025-kamen-ist-wieder-am-start,NRW,"Stadtradeln 2025: Sparkasse UnnaKamen, GSW Gemeinschaftsstadtwerke, Vahle, Rad und Tat, Pama's Café. Nur Nennung.",54.0
Riesa,riesa.de,TODO (Ahrefs),PARTNERBEREICH,nofollow/nur Nennung,3-5,https://riesa.de/rathaus/meldungen/artikel/news-riesa-wird-wieder-weihnachtlich-einen-monat-lang-eislaufen,Ost,"Weihnachtsmarkt/Volksbank-Eisbahn: Volksbank Riesa, Feralpi Stahl, Stadtwerke Riesa, Eventtalent, WohnKulturGut Gostewitz. Nur Fließtext-Nennung.",54.0
Saarlouis,saarlouis.de,TODO (Ahrefs),PARTNERBEREICH,nofollow/nur Nennung,5,https://www.saarlouis.de/leben-in-saarlouis/zusammenleben/saarlouiser-woche-und-emmes/emmes/,HE/RLP/SL,"Saarlouiser Woche/Emmes (offizielle Domain): Stadtwerke Saarlouis, Karlsberg-Brauerei, Globus, Victor's Residenz-Hotel, Trumpf/Ludwig Schokolade. Nennung als Text.",64.0
Stendal,stendal.de,TODO (Ahrefs),PARTNERBEREICH,dofollow ja,5,https://serviceportal.stendal.de/de/buergerprojekte.html,Ost,"Bürgerprojekte-Sponsoren mit verlinkten Logos: FEFA Projekt GmbH (fefa.services), Kaschade Stiftung, Volksbank Stendal, Stadtwerke Stendal, SWG. Kein nofollow erkennbar.",54.0
Varel,varel.de,TODO (Ahrefs),PARTNERBEREICH,dofollow ja,4 (3 verlinkt),https://www.varel.de/portal/seiten/familienfest-bei-der-weberei-900000611-20860.html,Nord,"Sponsoren-Sektion Familienfest: EWE AG (dofollow ewe.de), LzO (dofollow lzo.de), Barthel Stiftung (dofollow), Volksbank Jade-Weser (Logo). Direkt auf offizieller Domain.",56.0
Wunstorf,wunstorf.de,TODO (Ahrefs),PARTNERBEREICH,nofollow/nur Nennung,2,https://ohs.wunstorf.de/portal/seiten/foerderverein-1016-274.html,Nord,"Förderverein Otto-Hahn-Schule (Subdomain ohs.wunstorf.de): Stadtsparkasse Wunstorf, Volksbank in Wunstorf. Schwach, nur Nennung.",57.0
Zeitz,zeitz.de,TODO (Ahrefs),PARTNERBEREICH,nofollow/nur Nennung,3-5,https://www.zeitz.de/Programm-Zuckerfest/,Ost,"Zuckerfest-Programm: Südzucker AG, Autohaus Apitz, Radio SAW. Nur Nennung (Vollliste auf ausgeschlossener Domain).",53.0
Elmshorn,elmshorn.de,57.0,FIRMEN-LOGOS,nofollow/nur Nennung,5+,https://www.elmshorn.de/Kulturportal/Kulturdenkmale/Denkmalliste/10-Elmshorner-Musiknacht-am-29-05-2026.php,Nord,"Offizielle Stadtdomain elmshorn.de. Seite zur Elmshorner Musiknacht nennt als Unterstuetzer/Sponsoren: Elbmarschen Apotheke, Kibek, Sparkasse Elmshorn, Provinzial (Schutzengel Fock/Kreutz/Boldt, Moeller & Stahnke OHG), STERNPARTNER BURMESTER; zusaetzlich zahlreiche teilnehmende Geschaefte. Sponsorenfirmen ohne dofollow-Link (nur Kuenstler-Websites verlinkt).",
Emden,emden.de,68.0,FIRMEN-LOGOS,nofollow/nur Nennung,11,https://www.emden.de/rathaus/verwaltung/fb-300-stadtentwicklung-und-wirtschaftsfoerderung/fd-362-umwelt/klimaschutz-in-emden/stadtradeln,Nord,"Offizielle Stadtdomain emden.de. STADTRADELN-Seite nennt unter 'Wir bedanken uns herzlich bei unseren Partnern' u.a. Stadtwerke Emden, Multi Emden, Sparkasse Emden, Volkswagen, COSTA Meeresspezialitaeten, Friesentherme, AG Ems, cambio CarSharing, Fokken & Mueller, Fahrradwelt Docter & Sohn, WestfalenBahn. Reine Textnennung, keine dofollow-Links.",
Gifhorn,stadt-gifhorn.de,58.0,FIRMEN-LOGOS,nofollow/nur Nennung,8-9,https://www.stadt-gifhorn.de/freizeit-tourismus/veranstaltungen/gifhorner-altstadtfest,Nord,"Offizielle Stadtdomain stadt-gifhorn.de. Altstadtfest-Seite nennt als Buehnen-Praesentatoren/Unterstuetzer u.a. Stadtwerke Gifhorn, Privatbrauerei Wittingen, Hol'ab! Getraenkemaerkte, Volksbank BraWo, Gilde Brauerei, Culinari, Pizzaria Piccola Italia, Fa. Weber. Nur Textnennung, keine dofollow-Links.",
Leer (Ostfriesland),leer.de,60.0,FIRMEN-LOGOS,nofollow/nur Nennung,6,https://leer.de/Politik-Verwaltung/Verwaltung/Aktuelle-Mitteilungen/Pressemitteilungen/Stadtradeln-Leer-will-wieder-aufs-Treppchen-.php,Nord,"Offizielle Stadtdomain leer.de. STADTRADELN-Pressemitteilung nennt als Preisstifter/Sponsoren: Multi, Orgadata, Spass mit Sport, Sparkasse Leer-Wittmund, Ostfriesische Volksbank, AS-Steuerberatungsgesellschaft. Reine Textnennung, keine dofollow-Links.",
Radebeul,radebeul.de,63.0,FIRMEN-LINKS,dofollow ja,ca. 15 (davon ~12 echte Firmen),https://www.radebeul.de/karlmay/en/Partners-Sponsors,Ost,"Offizielle Stadtdomain radebeul.de (Unterpfad /karlmay/ = Karl May Festtage der Stadt). Seite 'Partner und Sponsoren' listet ~19 Eintraege, alle als dofollow-Links (kein rel=nofollow). Echte Firmen u.a.: Freiberger Brauhaus (freiberger-pils.de), Oppacher Mineralquellen (oppacher.de), Stadtwerke Elbtal, Sparkasse Meissen, Karl-May-Verlag (karl-may.de), Hasse Transport (hasse-transport.de), DWSI Sicherheit, Loessnitztalschaenke, Vadossi (vadossi.de), Hof Mahlitzsch. Klar >6 dofollow-Firmenlinks.",
Ahaus,ahaus.de,53.0,FIRMEN-LOGOS,nofollow/nur Nennung,ca. 6-13,https://ahaus.de/partner,NRW,"Offizielle Domain ahaus.de. Seite 'Ahaus-Partner' nennt Firmen (Die Gartisten, Bauhof, FB Architekt, Steincenter Ahaus, Hilgert, Thiemann) und zeigt ca. 13 Partner-Logos. Ahaus-Partner zahlen ab 2.500 EUR/Jahr. Keine direkten dofollow-Hyperlinks zu Firmen-Websites, Logos/Namen unverlinkt.",
Backnang,backnang.de,57.0,FIRMEN-LOGOS,nofollow/nur Nennung,16,https://www.backnang.de/54_+backnanger+strassenfest,BW,"Auf der offiziellen Stadtdomain backnang.de werden zum 54. Backnanger Straßenfest Gold-/Silber-/Basis-/Bronze-Sponsoren genannt: u.a. d&b audiotechnik GmbH & Co. KG, Dinkelacker-Schwaben Bräu, Kreissparkasse Waiblingen, McDonald's Backnang, Stadtwerke Backnang GmbH, ZANKER GmbH, Tesat-Spacecom GmbH, Volksbank Backnang eG, WIRmachenDRUCK GmbH, I-H&S GmbH, Grabert Sport, Stroh Druck und Medien, TJs Garage GmbH, Weitblick Immobilien GmbH. Firmen nur als Namen genannt, keine Hyperlinks.",
Bad Dürkheim,bad-duerkheim.de,66.0,PARTNERBEREICH,nofollow/nur Nennung,5,https://www.bad-duerkheim.de/kultur-tourismus/veranstaltungen-feste/limburg-sommer/partner-des-limburg-sommers/,RLP,"Offizielle Stadtdomain bad-duerkheim.de. Eigene Unterseite 'Partner des Limburg Sommers' (Open-Air-Festival). Genannte Partner/Sponsoren: Sparkasse Rhein-Haardt, Klosterschaenke Konrad2, VielPfalz Magazin, Stadtwerke Bad Duerkheim, Pro Tech (ca. 5). Seiteninhalt JS-geladen, im Fetch nicht voll renderbar; Firmennennung via Suchindex bestaetigt. dofollow/Logos nicht eindeutig verifizierbar -> konservativ als nur Nennung. Zaehlt als PARTNERBEREICH.",
Bensheim,bensheim.de,59.0,PARTNERBEREICH,nofollow/nur Nennung,3,https://bensheim.de/ueber-200-kinder-bei-den-ferienspielen-dank-an-die-sponsoren-fuer-die-grosszuegige-unterstuetzung/,HE,"Offizielle Stadtdomain bensheim.de. Sponsoren der Ferienspiele namentlich genannt: Sanner Forum, HAWIG Maschinenfabrik GmbH, Lions Club Bergstrasse. Keine Links, keine Logos, reine Textnennung (Dank). Plus Einzelspender (Privatpersonen). Zaehlt als PARTNERBEREICH (1-5 Firmen genannt).",
Bergkamen,bergkamen.de,57.0,FIRMEN-LINKS,dofollow ja,ca. 30 (6 verlinkt),https://www.bergkamen.de/kultur-tourismus-sport-events/veranstaltungen/grossveranstaltungen/hafenfest/sponsoren/,NRW,"Offizielle Domain bergkamen.de. Eigene Hafenfest-Sponsorenseite. 6 Hauptsponsoren mit dofollow-Links (rel=noreferrer noopener, kein nofollow): Sparkasse Bergkamen-Boenen, GSW Gemeinschaftsstadtwerke, Brauerei Veltins, B&G Getraenke Logistik, Poco, RS Technik AG. Zusaetzlich ca. 24 weitere namentlich genannte Firmen (Adam Kuehlerfabrik, Busemann, Diringer & Scheidel u.a.).",
Bingen am Rhein,bingen.de,70.0,FIRMEN-LOGOS,nofollow/nur Nennung,7,https://www.bingen.de/stadt/news/alle-pressemitteilungen/d-das-bingen-swingt-lineup-2025-702964217,RLP,"Offizielle Stadtdomain bingen.de. Pressemeldung 'Bingen Swingt LineUp 2025' nennt 7 Buehnenpartner/Sponsoren: Baron von Bingen Getraenkevertriebsgesellschaft mbH, Lotto Rheinland-Pfalz GmbH, Rhein-Nahe Nahverkehrsverbund GmbH, Zollamt Bingen, Volksbank Mainz-Darmstadt, Sparkasse Rhein-Nahe, Radio RPR.1. Nur namentlich (Danksagung), keine dofollow-Links, keine Logos. >=4 Firmennamen -> FIRMEN-LOGOS (nur Nennung).",
Cham,cham.de,53.0,FIRMEN-LOGOS,nofollow/nur Nennung,33,https://www.cham.de/kultur-freizeit/mikar-carsharing,BY,"Offizielle Kommunal-Domain cham.de (Stadt Cham). Seite 'mikar carsharing' fuehrt unter 'Offizieller Partner und Sponsor des Carsharing-Fahrzeuges' rund 33 lokale Firmen als Sponsoren auf, u.a. ALPHA Verteilertechnik GmbH, Elektro Koestler GmbH, Johann Allescher GmbH, Landfrisch Fleischmarkt GmbH, Obermeier Entsorgungs GmbH & Co. KG, STEA Stahl- und Metallbau GmbH, Weindl Bau GmbH, Zimmerei R. Muehlbauer GbR. Alle nur als Name genannt (keine Hyperlinks). Weit ueber Schwelle >=4 Firmen.",
Datteln,datteln.de,57.0,FIRMEN-LOGOS,nofollow/nur Nennung,ca. 13,https://www.datteln.de/rathausfestimlicht2023,NRW,"Offizielle Domain datteln.de. Seite zum Rathausfest im Licht 2023 nennt ca. 13 Firmen als Sponsoren: Radio Vest, GELSENWASSER, Viessmann, Westenergie, Wirtz Druck, Rheinzink, Aldi Nord, Dortmunder Volksbank, Sparkasse Vest Recklinghausen, Mohag-Gruppe, Saint-Gobain Weber, Debeka, Dr. Hoelscher & Frisch. Reine Textnennung, keine Links, keine Logos.",
Emsdetten,emsdetten.de,55.0,FIRMEN-LOGOS,nofollow/nur Nennung,ca. 8,https://www.emsdetten.de/standort-innenstadt-wirtschaft/neuigkeiten/2025/emsdettener-wunschbaum-die-vorweihnachtliche-aktion-fuer-den-guten-zweck/,NRW,"Offizielle Domain emsdetten.de. Seite zur vorweihnachtlichen Wunschbaum-Aktion nennt 8 teilnehmende Firmen/Partner: Schuhhaus Hoelscher, Spitzweg-Apotheke, Fahr-Rad Tippkoetter, Modehaus Muenning, Reisebuero Lueken-Schencking, Viva Fitness, Kinderwagen Finke, Haargenau Vennemann/Schaepermeier. Reine Textnennung, keine externen Links, keine Logos.",
Herzogenaurach,herzogenaurach.de,56.0,FIRMEN-LOGOS,nofollow/nur Nennung,8,https://www.herzogenaurach.de/leben/herzopass,BY,"Offizielle Kommunal-Domain herzogenaurach.de. herzoPASS-Seite listet als Partner/Akzeptanzstellen mehrere echte Firmen, u.a. adidas AG (Outlet Store), s.Oliver Store, Moebel Fischer, Print Line, W & W Optik, Apotheke am Markt, Konzeption+Text (Silke Goerner), Kreislauf-Kaufhaus. >=4 echte Firmen namentlich genannt (unverlinkt); ergaenzende Teilnehmerliste-PDF auf der Domain. Vereine/Behoerden zusaetzlich vorhanden, aber Firmenanteil erfuellt FIRMEN-LOGOS.",
Hofheim am Taunus,hofheim.de,60.0,FIRMEN-LOGOS,nofollow/nur Nennung,13,https://www.hofheim.de/wirtschaft/unternehmerabend/,HE,"Offizielle Stadtdomain hofheim.de. Seite zum Unternehmerabend nennt >=13 Gastgeber-/Partnerfirmen ueber die Jahre: POLAR Cutting GmbH, IKEA, electronica event technologies GmbH, Porsche Zentrum Hofheim, GLOBUS Baumarkt, POLAR Mohr, Marmor Stroehmann, BMW-Autohaus Euler u.a. Alle nur namentlich, keine dofollow-Links, keine Logos. >=4 Firmennamen -> FIRMEN-LOGOS (nur Nennung).",
Limburg an der Lahn,limburg.de,63.0,FIRMEN-LOGOS,nofollow/nur Nennung,9,https://limburg.de/index.php?FID=3252.34306.1&ModID=7&object=tx%2C3251.5,HE,"Offizielle Stadtdomain limburg.de. Pressemeldung 'Sponsoren unterstuetzen den Sportpark' nennt 9 Firmen: HEUS-Betonwerke, Bauunternehmung Albert Weil, MB Fund Advisory, ABID Seniorenimmobilien, feuerwerk-immobilien GmbH (WERKStadt), EVL, MeierGuss, Schaefer Dein Baecker, MNT (155.000 Euro). Nur namentlich, keine dofollow-Links, keine Logos. >=4 Firmennamen -> FIRMEN-LOGOS (nur Nennung).",
Meerbusch,meerbusch.de,60.0,FIRMEN-LOGOS,nofollow/nur Nennung,ca. 8,https://meerbusch.de/leben-in-meerbusch/sport-und-gesundheit/bewegungsparks,NRW,"Offizielle Domain meerbusch.de. Bewegungsparks-Seite nennt im Abschnitt Planung/Finanzierung Firmen-Sponsoren: RWE Rheinland Westfalen Netz, Sparkasse Neuss, Volksbank Moenchengladbach, Stadtwerke Meerbusch, GaLaBau Dornbusch, ISS-Steuerung, Firma Peter Lenzen, Kleene Stroemper, Stadtwerke Service Meerbusch Willich. Reine Textnennung, keine externen Links, keine Logos.",
